words,ocurrences
panic,80
fear,582
sad,354
mental,303
mind,247
sorry,360
shame,224
hate,265
hell,283
bad,828
feel,603
feeling,219
shit,606
worst,423
worse,536
blame,349
lonely,12
chaos,323
mad,82
ruined,53
anxiety,104
stress,124
stressed,26
phobia,1
shame,224
hurt,120
disorder,29
loneliness,8
turmoil,10
anger,46
horror,47
rage,14
fate,39
nervous,24
restless,1
depression,54
grief,30
worry,210
worried,265
angst,2
depressed,6
suicide,134
suffer,135
suffering,244
uncertainty,34
uneasy,3
sadness,9
afraid,122
alone,1014
suicidal,12
mood,18
tension,12
anxious,24
desperate,44
dismal,2
exhausted,22
insecure,5
distress,13
distressed,2
frustration,42
disgusting,83
boredom,1
bored,15
insane,82
stupidity,183
bullshit,201
uncertain,19
displeased,1
uncomfortable,10
melancholy,0
overwhelmed,38
pessimistic,4
unhappy,14
upset,34
outrage,53
ass,190
damn,294
covidiot,32
terrify,4
terrified,21
terrifying,57
distrust,23
scare,134
scared,221
scaring,7
dread,6
failed,250
failed,250
failure,183
fuck,495
fucking,411
miserable,21
regret,46
shock,48
shocked,125
negligence,69
betrayed,8
cry,48
crying,33
idiot,176
idiots,239
selfish,135
upheaval,1
mess,122
crisis,1327
horrible,84
violence,131
abuse,68
rape,10
stupid,626
