words,ocurrences
panic,66
fear,591
sad,488
mental,605
mind,285
sorry,410
shame,294
hate,286
hell,451
bad,769
feel,577
feeling,167
shit,687
worst,354
worse,537
blame,359
lonely,11
chaos,47
mad,133
ruined,30
anxiety,134
stress,138
stressed,19
phobia,3
shame,294
hurt,99
disorder,33
loneliness,12
turmoil,5
anger,81
horror,48
rage,33
fate,28
nervous,33
restless,2
depression,72
grief,66
worry,180
worried,221
angst,2
depressed,12
suicide,235
suffer,402
suffering,226
uncertainty,61
uneasy,0
sadness,5
afraid,174
alone,323
suicidal,26
mood,18
tension,5
anxious,20
desperate,44
dismal,3
exhausted,60
insecure,8
distress,37
distressed,0
frustration,33
disgusting,204
boredom,3
bored,12
insane,139
stupidity,143
bullshit,237
uncertain,28
displeased,1
uncomfortable,26
melancholy,0
overwhelmed,137
pessimistic,71
unhappy,5
upset,55
outrage,35
ass,235
damn,394
covidiot,76
terrify,2
terrified,31
terrifying,37
distrust,8
scare,87
scared,220
scaring,11
dread,4
failed,310
failed,310
failure,235
fuck,697
fucking,562
miserable,19
regret,82
shock,34
shocked,58
negligence,50
betrayed,3
cry,65
crying,57
idiot,238
idiots,214
selfish,169
upheaval,5
mess,124
crisis,806
horrible,117
violence,73
abuse,93
rape,43
stupid,545
