words,ocurrences
panic,210
fear,1182
sad,1185
mental,648
mind,894
sorry,847
shame,763
hate,1818
hell,895
bad,2115
feel,1790
feeling,493
shit,1858
worst,1541
worse,1466
blame,859
lonely,37
chaos,240
mad,211
ruined,145
anxiety,306
stress,423
stressed,122
phobia,3
shame,763
hurt,261
disorder,67
loneliness,37
turmoil,19
anger,70
horror,125
rage,39
fate,69
nervous,52
restless,7
depression,228
grief,107
worry,486
worried,433
angst,6
depressed,106
suicide,177
suffer,389
suffering,632
uncertainty,237
uneasy,6
sadness,31
afraid,335
alone,658
suicidal,19
mood,63
tension,46
anxious,71
desperate,222
dismal,12
exhausted,50
insecure,35
distress,56
distressed,8
frustration,35
disgusting,439
boredom,22
bored,68
insane,326
stupidity,333
bullshit,539
uncertain,104
displeased,0
uncomfortable,52
melancholy,2
overwhelmed,291
pessimistic,9
unhappy,46
upset,103
outrage,138
ass,824
damn,1044
covidiot,172
terrify,4
terrified,93
terrifying,108
distrust,32
scare,142
scared,393
scaring,19
dread,12
failed,836
failed,836
failure,925
fuck,1499
fucking,1675
miserable,38
regret,71
shock,165
shocked,162
negligence,154
betrayed,14
cry,112
crying,117
idiot,509
idiots,565
selfish,479
upheaval,18
mess,303
crisis,3271
horrible,252
violence,370
abuse,222
rape,61
stupid,1659
