words,ocurrences
panic,201
fear,988
sad,654
mental,454
mind,386
sorry,548
shame,366
hate,340
hell,638
bad,1110
feel,765
feeling,244
shit,1188
worst,957
worse,1009
blame,590
lonely,11
chaos,67
mad,117
ruined,36
anxiety,127
stress,158
stressed,56
phobia,2
shame,366
hurt,148
disorder,38
loneliness,33
turmoil,31
anger,187
horror,32
rage,36
fate,33
nervous,41
restless,2
depression,78
grief,62
worry,275
worried,350
angst,5
depressed,17
suicide,80
suffer,230
suffering,320
uncertainty,82
uneasy,4
sadness,18
afraid,172
alone,367
suicidal,14
mood,20
tension,7
anxious,45
desperate,123
dismal,3
exhausted,84
insecure,10
distress,42
distressed,5
frustration,72
disgusting,130
boredom,5
bored,12
insane,165
stupidity,278
bullshit,343
uncertain,56
displeased,1
uncomfortable,33
melancholy,0
overwhelmed,163
pessimistic,11
unhappy,11
upset,64
outrage,42
ass,353
damn,671
covidiot,60
terrify,11
terrified,49
terrifying,58
distrust,19
scare,160
scared,190
scaring,20
dread,8
failed,365
failed,365
failure,328
fuck,986
fucking,771
miserable,39
regret,92
shock,55
shocked,77
negligence,68
betrayed,4
cry,84
crying,59
idiot,330
idiots,324
selfish,222
upheaval,4
mess,144
crisis,1269
horrible,136
violence,170
abuse,121
rape,24
stupid,910
