words,ocurrences
panic,978
fear,1772
sad,1874
mental,996
mind,1142
sorry,1163
shame,862
hate,1073
hell,1381
bad,2800
feel,2503
feeling,816
shit,2472
worst,1550
worse,1852
blame,1421
lonely,81
chaos,339
mad,429
ruined,262
anxiety,710
stress,584
stressed,136
phobia,10
shame,862
hurt,283
disorder,79
loneliness,67
turmoil,39
anger,167
horror,193
rage,69
fate,92
nervous,68
restless,13
depression,409
grief,163
worry,830
worried,758
angst,7
depressed,66
suicide,256
suffer,362
suffering,851
uncertainty,311
uneasy,15
sadness,53
afraid,498
alone,1200
suicidal,26
mood,148
tension,59
anxious,154
desperate,340
dismal,9
exhausted,76
insecure,33
distress,101
distressed,19
frustration,113
disgusting,663
boredom,110
bored,330
insane,394
stupidity,530
bullshit,562
uncertain,186
displeased,3
uncomfortable,44
melancholy,3
overwhelmed,306
pessimistic,15
unhappy,25
upset,196
outrage,168
ass,1032
damn,1109
covidiot,173
terrify,8
terrified,127
terrifying,186
distrust,20
scare,244
scared,530
scaring,41
dread,35
failed,1122
failed,1122
failure,1380
fuck,2244
fucking,1905
miserable,40
regret,105
shock,246
shocked,224
negligence,259
betrayed,29
cry,266
crying,248
idiot,1012
idiots,858
selfish,522
upheaval,17
mess,414
crisis,9315
horrible,380
violence,553
abuse,384
rape,73
stupid,1765
