words,ocurrences
panic,1633
fear,1734
sad,1751
mental,908
mind,1118
sorry,1156
shame,960
hate,1058
hell,1363
bad,2549
feel,2744
feeling,968
shit,2735
worst,1319
worse,2065
blame,1028
lonely,70
chaos,339
mad,459
ruined,83
anxiety,860
stress,641
stressed,146
phobia,7
shame,960
hurt,355
disorder,41
loneliness,80
turmoil,43
anger,110
horror,139
rage,59
fate,103
nervous,70
restless,40
depression,382
grief,109
worry,786
worried,865
angst,9
depressed,63
suicide,241
suffer,386
suffering,764
uncertainty,406
uneasy,17
sadness,72
afraid,447
alone,1100
suicidal,29
mood,143
tension,44
anxious,206
desperate,385
dismal,7
exhausted,71
insecure,28
distress,98
distressed,39
frustration,61
disgusting,595
boredom,90
bored,317
insane,449
stupidity,455
bullshit,507
uncertain,306
displeased,2
uncomfortable,48
melancholy,4
overwhelmed,390
pessimistic,15
unhappy,19
upset,149
outrage,128
ass,1062
damn,1354
covidiot,247
terrify,5
terrified,174
terrifying,274
distrust,14
scare,382
scared,643
scaring,47
dread,27
failed,615
failed,615
failure,454
fuck,2360
fucking,1982
miserable,52
regret,110
shock,199
shocked,201
negligence,179
betrayed,14
cry,227
crying,234
idiot,1077
idiots,694
selfish,551
upheaval,35
mess,357
crisis,9862
horrible,394
violence,280
abuse,233
rape,34
stupid,1914
