words,ocurrences
panic,249
fear,936
sad,715
mental,925
mind,668
sorry,591
shame,444
hate,611
hell,574
bad,1418
feel,1498
feeling,375
shit,991
worst,903
worse,1017
blame,748
lonely,25
chaos,240
mad,161
ruined,122
anxiety,376
stress,440
stressed,88
phobia,10
shame,444
hurt,161
disorder,51
loneliness,51
turmoil,23
anger,80
horror,60
rage,74
fate,37
nervous,64
restless,5
depression,362
grief,94
worry,407
worried,582
angst,3
depressed,43
suicide,254
suffer,231
suffering,609
uncertainty,274
uneasy,15
sadness,25
afraid,231
alone,563
suicidal,10
mood,71
tension,31
anxious,84
desperate,138
dismal,14
exhausted,27
insecure,51
distress,86
distressed,19
frustration,40
disgusting,203
boredom,13
bored,42
insane,185
stupidity,146
bullshit,250
uncertain,158
displeased,3
uncomfortable,43
melancholy,1
overwhelmed,62
pessimistic,2
unhappy,19
upset,79
outrage,58
ass,401
damn,514
covidiot,43
terrify,3
terrified,27
terrifying,58
distrust,28
scare,174
scared,243
scaring,15
dread,21
failed,1024
failed,1024
failure,563
fuck,862
fucking,775
miserable,29
regret,76
shock,133
shocked,139
negligence,98
betrayed,66
cry,104
crying,97
idiot,332
idiots,217
selfish,210
upheaval,44
mess,228
crisis,3641
horrible,181
violence,375
abuse,277
rape,43
stupid,733
