words,ocurrences
panic,268
fear,797
sad,1092
mental,815
mind,655
sorry,881
shame,549
hate,637
hell,824
bad,1591
feel,1468
feeling,510
shit,1685
worst,1120
worse,1031
blame,575
lonely,41
chaos,421
mad,239
ruined,73
anxiety,250
stress,480
stressed,76
phobia,1
shame,549
hurt,213
disorder,36
loneliness,77
turmoil,19
anger,127
horror,101
rage,108
fate,46
nervous,74
restless,5
depression,192
grief,114
worry,538
worried,635
angst,5
depressed,31
suicide,189
suffer,273
suffering,677
uncertainty,202
uneasy,5
sadness,35
afraid,263
alone,651
suicidal,11
mood,61
tension,23
anxious,64
desperate,154
dismal,17
exhausted,68
insecure,25
distress,65
distressed,10
frustration,90
disgusting,421
boredom,9
bored,33
insane,220
stupidity,253
bullshit,366
uncertain,104
displeased,1
uncomfortable,26
melancholy,0
overwhelmed,189
pessimistic,18
unhappy,12
upset,86
outrage,58
ass,621
damn,979
covidiot,151
terrify,9
terrified,42
terrifying,114
distrust,56
scare,124
scared,199
scaring,16
dread,11
failed,736
failed,736
failure,796
fuck,1515
fucking,1268
miserable,40
regret,48
shock,451
shocked,249
negligence,216
betrayed,15
cry,111
crying,121
idiot,533
idiots,379
selfish,338
upheaval,24
mess,206
crisis,2227
horrible,262
violence,290
abuse,235
rape,27
stupid,999
