words,ocurrences
panic,349
fear,1579
sad,1170
mental,1112
mind,922
sorry,949
shame,671
hate,1205
hell,919
bad,2206
feel,2295
feeling,684
shit,2492
worst,1677
worse,1471
blame,1491
lonely,60
chaos,622
mad,377
ruined,140
anxiety,585
stress,747
stressed,198
phobia,10
shame,671
hurt,323
disorder,67
loneliness,51
turmoil,92
anger,375
horror,143
rage,189
fate,63
nervous,68
restless,20
depression,405
grief,148
worry,722
worried,868
angst,8
depressed,49
suicide,325
suffer,329
suffering,834
uncertainty,242
uneasy,9
sadness,53
afraid,479
alone,819
suicidal,20
mood,91
tension,92
anxious,130
desperate,227
dismal,21
exhausted,134
insecure,20
distress,87
distressed,37
frustration,109
disgusting,343
boredom,24
bored,107
insane,283
stupidity,285
bullshit,449
uncertain,140
displeased,0
uncomfortable,47
melancholy,4
overwhelmed,125
pessimistic,7
unhappy,21
upset,163
outrage,196
ass,771
damn,809
covidiot,105
terrify,4
terrified,164
terrifying,113
distrust,19
scare,198
scared,553
scaring,36
dread,16
failed,1286
failed,1286
failure,1122
fuck,2117
fucking,1635
miserable,35
regret,105
shock,269
shocked,539
negligence,137
betrayed,31
cry,152
crying,149
idiot,508
idiots,551
selfish,290
upheaval,35
mess,363
crisis,7303
horrible,273
violence,1614
abuse,294
rape,54
stupid,1303
