words,ocurrences
panic,559
fear,1078
sad,1226
mental,1097
mind,1041
sorry,1291
shame,718
hate,962
hell,1242
bad,2571
feel,2122
feeling,897
shit,2173
worst,1156
worse,2013
blame,1095
lonely,64
chaos,387
mad,296
ruined,77
anxiety,294
stress,296
stressed,55
phobia,4
shame,718
hurt,261
disorder,83
loneliness,26
turmoil,37
anger,156
horror,104
rage,115
fate,146
nervous,63
restless,4
depression,210
grief,105
worry,550
worried,954
angst,6
depressed,70
suicide,548
suffer,374
suffering,921
uncertainty,224
uneasy,5
sadness,36
afraid,335
alone,1356
suicidal,44
mood,93
tension,16
anxious,70
desperate,321
dismal,23
exhausted,134
insecure,22
distress,73
distressed,6
frustration,86
disgusting,1172
boredom,11
bored,99
insane,559
stupidity,616
bullshit,796
uncertain,66
displeased,1
uncomfortable,42
melancholy,1
overwhelmed,94
pessimistic,7
unhappy,28
upset,138
outrage,91
ass,1258
damn,1342
covidiot,222
terrify,4
terrified,88
terrifying,80
distrust,48
scare,203
scared,374
scaring,24
dread,24
failed,1309
failed,1309
failure,1040
fuck,1672
fucking,1737
miserable,56
regret,66
shock,154
shocked,199
negligence,998
betrayed,28
cry,193
crying,117
idiot,1052
idiots,594
selfish,1294
upheaval,12
mess,368
crisis,2140
horrible,495
violence,203
abuse,207
rape,99
stupid,2255
