words,ocurrences
panic,66
fear,288
sad,171
mental,2011
mind,183
sorry,136
shame,90
hate,106
hell,113
bad,439
feel,402
feeling,128
shit,238
worst,178
worse,326
blame,135
lonely,11
chaos,35
mad,38
ruined,21
anxiety,223
stress,136
stressed,19
phobia,2
shame,90
hurt,32
disorder,91
loneliness,24
turmoil,7
anger,26
horror,40
rage,11
fate,10
nervous,27
restless,10
depression,165
grief,47
worry,94
worried,92
angst,0
depressed,27
suicide,82
suffer,69
suffering,233
uncertainty,36
uneasy,0
sadness,4
afraid,81
alone,203
suicidal,10
mood,19
tension,8
anxious,22
desperate,36
dismal,3
exhausted,14
insecure,5
distress,19
distressed,1
frustration,10
disgusting,135
boredom,0
bored,7
insane,82
stupidity,56
bullshit,124
uncertain,32
displeased,0
uncomfortable,9
melancholy,0
overwhelmed,36
pessimistic,0
unhappy,7
upset,15
outrage,22
ass,70
damn,132
covidiot,13
terrify,1
terrified,12
terrifying,45
distrust,9
scare,78
scared,55
scaring,4
dread,1
failed,115
failed,115
failure,114
fuck,194
fucking,186
miserable,7
regret,26
shock,14
shocked,22
negligence,12
betrayed,2
cry,34
crying,25
idiot,112
idiots,71
selfish,57
upheaval,3
mess,48
crisis,450
horrible,54
violence,79
abuse,64
rape,9
stupid,220
