words,ocurrences
panic,500
fear,1480
sad,1231
mental,829
mind,1088
sorry,1125
shame,841
hate,1041
hell,1331
bad,2769
feel,2166
feeling,591
shit,2511
worst,1658
worse,1959
blame,1371
lonely,38
chaos,239
mad,401
ruined,147
anxiety,458
stress,421
stressed,91
phobia,7
shame,841
hurt,307
disorder,95
loneliness,47
turmoil,21
anger,118
horror,168
rage,73
fate,50
nervous,127
restless,12
depression,353
grief,117
worry,836
worried,905
angst,8
depressed,54
suicide,137
suffer,381
suffering,735
uncertainty,188
uneasy,14
sadness,34
afraid,546
alone,972
suicidal,20
mood,128
tension,51
anxious,137
desperate,387
dismal,12
exhausted,78
insecure,23
distress,111
distressed,8
frustration,40
disgusting,418
boredom,16
bored,130
insane,375
stupidity,580
bullshit,509
uncertain,103
displeased,0
uncomfortable,98
melancholy,0
overwhelmed,208
pessimistic,14
unhappy,26
upset,129
outrage,126
ass,1249
damn,1518
covidiot,182
terrify,9
terrified,130
terrifying,139
distrust,20
scare,249
scared,539
scaring,26
dread,12
failed,1733
failed,1733
failure,1288
fuck,2032
fucking,2266
miserable,52
regret,289
shock,159
shocked,215
negligence,243
betrayed,59
cry,149
crying,157
idiot,1065
idiots,784
selfish,709
upheaval,10
mess,409
crisis,4933
horrible,488
violence,435
abuse,455
rape,64
stupid,2236
