words,ocurrences
panic,285
fear,831
sad,606
mental,684
mind,437
sorry,406
shame,544
hate,470
hell,486
bad,940
feel,878
feeling,341
shit,561
worst,829
worse,669
blame,456
lonely,15
chaos,113
mad,83
ruined,32
anxiety,290
stress,297
stressed,65
phobia,3
shame,544
hurt,101
disorder,46
loneliness,27
turmoil,11
anger,89
horror,73
rage,26
fate,41
nervous,46
restless,7
depression,108
grief,97
worry,371
worried,268
angst,7
depressed,65
suicide,71
suffer,273
suffering,810
uncertainty,108
uneasy,4
sadness,42
afraid,182
alone,399
suicidal,10
mood,35
tension,31
anxious,55
desperate,170
dismal,5
exhausted,48
insecure,11
distress,98
distressed,17
frustration,38
disgusting,154
boredom,9
bored,34
insane,104
stupidity,136
bullshit,174
uncertain,48
displeased,0
uncomfortable,22
melancholy,0
overwhelmed,176
pessimistic,7
unhappy,12
upset,50
outrage,64
ass,205
damn,251
covidiot,36
terrify,4
terrified,24
terrifying,69
distrust,21
scare,85
scared,155
scaring,9
dread,6
failed,584
failed,584
failure,669
fuck,543
fucking,507
miserable,39
regret,35
shock,88
shocked,72
negligence,114
betrayed,21
cry,100
crying,86
idiot,248
idiots,217
selfish,138
upheaval,4
mess,173
crisis,3874
horrible,155
violence,198
abuse,147
rape,29
stupid,543
