words,ocurrences
panic,150
fear,660
sad,327
mental,1311
mind,382
sorry,292
shame,273
hate,272
hell,294
bad,784
feel,837
feeling,334
shit,578
worst,614
worse,565
blame,347
lonely,32
chaos,65
mad,134
ruined,42
anxiety,305
stress,281
stressed,101
phobia,4
shame,273
hurt,114
disorder,189
loneliness,35
turmoil,9
anger,38
horror,35
rage,17
fate,19
nervous,37
restless,2
depression,213
grief,55
worry,297
worried,795
angst,4
depressed,44
suicide,145
suffer,383
suffering,307
uncertainty,99
uneasy,2
sadness,25
afraid,147
alone,395
suicidal,16
mood,90
tension,17
anxious,41
desperate,66
dismal,4
exhausted,46
insecure,4
distress,35
distressed,13
frustration,47
disgusting,103
boredom,7
bored,10
insane,78
stupidity,87
bullshit,170
uncertain,61
displeased,1
uncomfortable,27
melancholy,0
overwhelmed,73
pessimistic,4
unhappy,5
upset,27
outrage,40
ass,197
damn,281
covidiot,18
terrify,0
terrified,24
terrifying,46
distrust,19
scare,74
scared,135
scaring,7
dread,24
failed,327
failed,327
failure,411
fuck,472
fucking,422
miserable,21
regret,19
shock,74
shocked,64
negligence,80
betrayed,4
cry,52
crying,55
idiot,140
idiots,132
selfish,69
upheaval,7
mess,114
crisis,1495
horrible,92
violence,356
abuse,141
rape,31
stupid,341
