words,ocurrences
panic,292
fear,1358
sad,787
mental,1379
mind,754
sorry,924
shame,490
hate,612
hell,803
bad,1757
feel,1398
feeling,429
shit,1392
worst,1520
worse,1206
blame,898
lonely,31
chaos,274
mad,170
ruined,125
anxiety,460
stress,564
stressed,66
phobia,4
shame,490
hurt,282
disorder,72
loneliness,56
turmoil,30
anger,130
horror,81
rage,68
fate,51
nervous,64
restless,3
depression,506
grief,109
worry,564
worried,536
angst,4
depressed,47
suicide,337
suffer,347
suffering,662
uncertainty,368
uneasy,14
sadness,23
afraid,343
alone,571
suicidal,133
mood,61
tension,42
anxious,86
desperate,238
dismal,18
exhausted,41
insecure,19
distress,73
distressed,15
frustration,97
disgusting,322
boredom,6
bored,62
insane,186
stupidity,208
bullshit,490
uncertain,100
displeased,5
uncomfortable,45
melancholy,4
overwhelmed,138
pessimistic,14
unhappy,16
upset,97
outrage,69
ass,584
damn,764
covidiot,100
terrify,2
terrified,69
terrifying,59
distrust,49
scare,189
scared,294
scaring,24
dread,9
failed,976
failed,976
failure,800
fuck,1303
fucking,1057
miserable,24
regret,240
shock,136
shocked,151
negligence,145
betrayed,13
cry,91
crying,77
idiot,426
idiots,293
selfish,224
upheaval,26
mess,336
crisis,3845
horrible,220
violence,313
abuse,250
rape,35
stupid,937
