words,ocurrences
panic,106
fear,366
sad,341
mental,497
mind,315
sorry,299
shame,225
hate,296
hell,229
bad,558
feel,525
feeling,172
shit,453
worst,440
worse,375
blame,330
lonely,12
chaos,88
mad,65
ruined,43
anxiety,167
stress,174
stressed,64
phobia,2
shame,225
hurt,73
disorder,22
loneliness,19
turmoil,6
anger,80
horror,37
rage,20
fate,18
nervous,18
restless,0
depression,71
grief,47
worry,201
worried,469
angst,0
depressed,29
suicide,66
suffer,234
suffering,380
uncertainty,94
uneasy,1
sadness,20
afraid,115
alone,239
suicidal,5
mood,25
tension,10
anxious,39
desperate,80
dismal,14
exhausted,34
insecure,6
distress,34
distressed,6
frustration,21
disgusting,116
boredom,2
bored,15
insane,63
stupidity,73
bullshit,123
uncertain,26
displeased,0
uncomfortable,11
melancholy,0
overwhelmed,83
pessimistic,2
unhappy,9
upset,42
outrage,36
ass,135
damn,168
covidiot,23
terrify,0
terrified,8
terrifying,26
distrust,17
scare,76
scared,97
scaring,8
dread,4
failed,300
failed,300
failure,255
fuck,387
fucking,308
miserable,31
regret,54
shock,44
shocked,71
negligence,65
betrayed,8
cry,60
crying,56
idiot,113
idiots,105
selfish,77
upheaval,2
mess,59
crisis,1192
horrible,55
violence,296
abuse,104
rape,19
stupid,318
