words,ocurrences
panic,103
fear,567
sad,429
mental,497
mind,306
sorry,358
shame,192
hate,340
hell,369
bad,748
feel,697
feeling,212
shit,692
worst,479
worse,538
blame,219
lonely,12
chaos,51
mad,107
ruined,23
anxiety,131
stress,151
stressed,48
phobia,10
shame,192
hurt,65
disorder,25
loneliness,15
turmoil,14
anger,45
horror,18
rage,21
fate,21
nervous,38
restless,1
depression,71
grief,53
worry,275
worried,260
angst,5
depressed,11
suicide,92
suffer,151
suffering,192
uncertainty,66
uneasy,3
sadness,14
afraid,125
alone,261
suicidal,5
mood,23
tension,15
anxious,26
desperate,63
dismal,6
exhausted,60
insecure,4
distress,41
distressed,5
frustration,15
disgusting,121
boredom,2
bored,14
insane,118
stupidity,120
bullshit,179
uncertain,26
displeased,0
uncomfortable,13
melancholy,0
overwhelmed,109
pessimistic,1
unhappy,4
upset,55
outrage,46
ass,233
damn,369
covidiot,49
terrify,7
terrified,23
terrifying,48
distrust,20
scare,72
scared,154
scaring,14
dread,2
failed,222
failed,222
failure,226
fuck,870
fucking,533
miserable,18
regret,35
shock,61
shocked,77
negligence,46
betrayed,9
cry,125
crying,228
idiot,311
idiots,216
selfish,141
upheaval,2
mess,124
crisis,925
horrible,112
violence,134
abuse,64
rape,27
stupid,642
