words,ocurrences
panic,117
fear,438
sad,418
mental,269
mind,220
sorry,320
shame,237
hate,194
hell,298
bad,578
feel,554
feeling,211
shit,561
worst,412
worse,437
blame,234
lonely,45
chaos,144
mad,104
ruined,69
anxiety,95
stress,164
stressed,35
phobia,2
shame,237
hurt,84
disorder,12
loneliness,32
turmoil,10
anger,30
horror,32
rage,31
fate,21
nervous,23
restless,5
depression,65
grief,51
worry,282
worried,276
angst,1
depressed,70
suicide,62
suffer,122
suffering,361
uncertainty,114
uneasy,2
sadness,40
afraid,104
alone,458
suicidal,21
mood,46
tension,5
anxious,21
desperate,66
dismal,3
exhausted,26
insecure,13
distress,25
distressed,8
frustration,11
disgusting,108
boredom,1
bored,19
insane,65
stupidity,64
bullshit,143
uncertain,110
displeased,0
uncomfortable,6
melancholy,0
overwhelmed,78
pessimistic,2
unhappy,2
upset,28
outrage,31
ass,182
damn,274
covidiot,31
terrify,1
terrified,12
terrifying,44
distrust,14
scare,63
scared,69
scaring,6
dread,4
failed,300
failed,300
failure,142
fuck,493
fucking,379
miserable,27
regret,28
shock,36
shocked,54
negligence,54
betrayed,29
cry,44
crying,88
idiot,121
idiots,143
selfish,105
upheaval,5
mess,93
crisis,791
horrible,112
violence,69
abuse,42
rape,6
stupid,261
