words,ocurrences
panic,179
fear,475
sad,337
mental,357
mind,274
sorry,233
shame,293
hate,213
hell,226
bad,618
feel,568
feeling,227
shit,351
worst,502
worse,434
blame,259
lonely,18
chaos,80
mad,55
ruined,39
anxiety,237
stress,177
stressed,34
phobia,0
shame,293
hurt,62
disorder,22
loneliness,11
turmoil,17
anger,50
horror,62
rage,16
fate,14
nervous,25
restless,6
depression,55
grief,55
worry,171
worried,150
angst,0
depressed,40
suicide,64
suffer,142
suffering,489
uncertainty,58
uneasy,6
sadness,19
afraid,138
alone,287
suicidal,4
mood,19
tension,26
anxious,27
desperate,86
dismal,5
exhausted,25
insecure,5
distress,94
distressed,5
frustration,34
disgusting,87
boredom,2
bored,13
insane,70
stupidity,89
bullshit,105
uncertain,32
displeased,0
uncomfortable,10
melancholy,1
overwhelmed,107
pessimistic,4
unhappy,8
upset,32
outrage,37
ass,105
damn,186
covidiot,29
terrify,3
terrified,12
terrifying,34
distrust,5
scare,80
scared,114
scaring,5
dread,7
failed,408
failed,408
failure,298
fuck,301
fucking,245
miserable,48
regret,13
shock,28
shocked,39
negligence,71
betrayed,8
cry,86
crying,44
idiot,112
idiots,137
selfish,96
upheaval,2
mess,83
crisis,2216
horrible,66
violence,154
abuse,68
rape,18
stupid,338
