word,count
coronavirus,90611
covid,87552
19,82260
covid19,56864
cases,33068
trump,29156
new,24828
people,23998
amp,22462
pandemic,17632
deaths,15471
us,15207
virus,13434
one,12886
news,12686
get,12007
via,11684
like,11547
health,10606
000,10048
day,9911
positive,9821
mask,9661
realdonaldtrump,9432
testing,9416
masks,8894
time,8852
would,8791
world,8787
death,8262
need,8215
spread,7556
know,7394
help,7172
state,7134
many,7122
even,7039
still,6799
test,6693
go,6637
could,6621
please,6546
vaccine,6482
see,6479
right,6417
going,6401
says,6358
government,6165
india,6143
country,6118
back,6084
take,5929
much,5876
good,5851
data,5835
think,5785
make,5695
2020,5652
president,5509
response,5483
daily,5456
crisis,5420
today,5414
want,5411
lockdown,5390
wear,5328
public,5287
america,5285
states,5255
due,5234
said,5226
home,5111
july,5101
reports,5098
work,5092
may,5079
also,5045
re,4997
well,4983
florida,4964
children,4896
total,4842
stop,4817
care,4746
cdc,4720
americans,4681
10,4630
number,4604
first,4600
tested,4579
let,4524
say,4507
times,4445
way,4433
patients,4398
really,4275
reported,4271
year,4269
schools,4209
gop,4187
tests,4123
school,4110
dr,4082
rate,4078
face,4074
fauci,4052
last,4039
great,4035
control,4006
since,3981
global,3945
read,3940
numbers,3931
house,3905
china,3852
study,3843
county,3838
every,3814
uk,3800
live,3791
days,3780
must,3758
risk,3750
texas,3747
keep,3665
latest,3647
kids,3637
million,3625
week,3610
outbreak,3593
another,3554
months,3550
case,3533
record,3504
life,3488
died,3470
top,3439
social,3434
long,3412
got,3409
never,3396
stay,3391
economy,3361
wearing,3343
money,3330
sunday,3330
better,3316
everyone,3293
safe,3277
look,3277
lives,3273
report,3264
infected,3247
plan,3199
family,3192
support,3184
biden,3184
post,3154
two,3150
die,3150
hospital,3085
getting,3084
come,3044
use,3020
white,3005
dead,3004
confirmed,2994
without,2953
real,2950
administration,2938
amid,2938
leadership,2863
recovery,2843
second,2835
york,2830
fight,2829
countries,2826
around,2821
business,2820
away,2803
corona,2801
update,2787
made,2782
open,2779
high,2762
ca,2757
tracing,2751
man,2744
south,2730
situation,2723
toll,2721
done,2707
20,2705
american,2691
science,2676
medical,2668
national,2662
start,2650
next,2637
relief,2624
media,2613
students,2567
hope,2550
surge,2528
flu,2523
protect,2519
thanks,2512
increase,2508
yet,2506
disease,2504
ve,2494
give,2488
best,2487
thing,2476
far,2465
believe,2464
bill,2460
years,2455
put,2452
nothing,2446
weeks,2440
infections,2440
free,2440
single,2435
updates,2428
job,2425
100,2417
trying,2409
impact,2372
needs,2371
others,2342
show,2333
bad,2331
already,2327
usa,2315
part,2311
thank,2309
failure,2308
contact,2308
24,2303
something,2282
anyone,2273
community,2267
fox,2266
god,2245
rise,2240
doctors,2227
story,2220
symptoms,2213
person,2212
interview,2211
end,2202
recovered,2193
results,2192
working,2186
sick,2184
sign,2171
donald,2164
article,2155
tell,2153
140,2151
spike,2144
less,2142
sure,2138
big,2131
workers,2130
old,2130
funding,2129
things,2126
govt,2126
wrong,2122
making,2119
hospitals,2114
ever,2109
least,2094
officials,2081
close,2080
yes,2079
taking,2067
staff,2065
quarantine,2061
watch,2060
call,2053
find,2049
minister,2041
continue,2027
election,2027
including,2020
per,2018
someone,2015
enough,2010
safety,2008
adults,2006
vote,2006
hours,1998
finds,1996
city,1985
hit,1984
infection,1984
governor,1976
always,1969
across,1963
follow,1961
local,1955
ll,1954
lost,1951
leaders,1950
important,1922
handling,1921
market,1920
human,1900
research,1899
distancing,1891
highest,1890
love,1875
told,1874
march,1872
economic,1867
lead,1866
wants,1865
video,1858
everything,1851
anything,1850
coming,1849
saying,1843
political,1841
soon,1832
order,1817
check,1817
little,1814
12,1812
travel,1804
population,1803
month,1798
poll,1798
block,1790
dying,1787
full,1785
shows,1780
actually,1779
save,1770
inside,1759
fear,1747
united,1745
hard,1742
active,1742
measures,1738
youtube,1735
republicans,1733
left,1733
might,1726
information,1719
the,1714
gt,1713
eu,1702
18,1702
lot,1700
change,1700
true,1698
worse,1693
shit,1687
oh,1687
nation,1686
point,1680
maybe,1676
immunity,1674
gov,1670
cause,1650
police,1649
claims,1640
worst,1631
pm,1631
breaking,1625
using,1624
system,1619
large,1611
almost,1605
related,1604
14,1603
kill,1596
treatment,1593
current,1590
spreading,1589
truth,1586
among,1561
place,1552
fact,1550
reopen,1547
become,1543
lies,1542
feel,1541
covid_19,1531
air,1528
mean,1525
understand,1517
federal,1513
thousands,1504
stupid,1504
past,1503
reporting,1501
sir,1500
cnn,1500
likely,1499
makes,1498
young,1498
fake,1494
age,1489
doctor,1484
problem,1483
according,1482
cut,1482
11,1481
older,1475
instead,1473
healthcare,1470
abc,1468
russia,1465
food,1461
seen,1457
ask,1456
false,1454
nfl,1454
homes,1453
wave,1452
pay,1442
together,1439
canada,1434
thought,1432
role,1431
600,1422
bbc,1421
term,1417
evidence,1414
experts,1408
kong,1405
possible,1405
used,1404
early,1400
85,1399
called,1398
15,1396
in,1395
fall,1393
fighting,1391
eventually,1391
set,1390
hong,1389
takes,1384
friends,1383
remember,1380
started,1379
campaign,1376
found,1375
different,1374
50,1374
black,1368
share,1367
couple,1362
online,1362
self,1358
common,1357
trial,1356
three,1354
failed,1353
learn,1352
reopening,1351
party,1351
despite,1349
nearly,1346
else,1345
team,1335
seems,1334
talk,1327
emergency,1324
looking,1323
businesses,1321
ccp,1319
able,1313
jul,1312
future,1312
whole,1311
parents,1311
nursing,1309
rates,1301
ago,1300
war,1296
fucking,1293
reason,1288
jobs,1287
na,1286
restrictions,1285
transmission,1282
rising,1275
source,1272
killing,1267
hands,1262
link,1262
leader,1260
disappear,1257
level,1253
players,1252
result,1251
available,1242
wallace,1240
office,1239
small,1239
protests,1235
gets,1231
australia,1230
wo,1228
list,1227
anti,1222
fuck,1222
wearamask,1218
tax,1215
potus,1214
africa,1213
13,1212
citizens,1210
hoax,1210
deal,1209
concerns,1205
shut,1204
half,1203
prevent,1203
listen,1203
wait,1203
action,1202
try,1201
focus,1200
behind,1200
washington,1199
issues,1196
worldwide,1195
low,1193
scientists,1183
nytimes,1182
mandatory,1181
four,1178
closed,1175
april,1174
politics,1172
california,1172
killed,1171
johnson,1170
families,1170
normal,1169
means,1168
higher,1163
matter,1157
tweet,1155
running,1154
blame,1153
issue,1149
thread,1144
app,1144
records,1143
education,1142
based,1141
play,1138
yesterday,1136
act,1134
bit,1133
30,1131
given,1129
rest,1128
blood,1126
return,1126
especially,1126
foreign,1126
seriously,1124
responsibility,1123
lack,1120
trust,1119
dies,1119
women,1119
facts,1116
etc,1114
25,1113
join,1113
power,1110
sense,1108
mr,1108
needed,1108
calls,1106
hear,1105
saturday,1104
serious,1103
recorded,1098
continues,1096
major,1092
birx,1090
policy,1090
course,1089
