words,ocurrences
panic,443
fear,2216
sad,1662
mental,2618
mind,1325
sorry,1129
shame,997
hate,1137
hell,1255
bad,2982
feel,2629
feeling,773
shit,2404
worst,1846
worse,1824
blame,1536
lonely,69
chaos,299
mad,501
ruined,193
anxiety,833
stress,970
stressed,142
phobia,9
shame,997
hurt,414
disorder,90
loneliness,133
turmoil,58
anger,175
horror,135
rage,99
fate,113
nervous,108
restless,19
depression,503
grief,198
worry,749
worried,755
angst,14
depressed,81
suicide,305
suffer,444
suffering,935
uncertainty,621
uneasy,11
sadness,59
afraid,601
alone,1017
suicidal,31
mood,131
tension,109
anxious,210
desperate,307
dismal,15
exhausted,90
insecure,68
distress,112
distressed,33
frustration,68
disgusting,505
boredom,57
bored,165
insane,319
stupidity,417
bullshit,594
uncertain,337
displeased,1
uncomfortable,106
melancholy,2
overwhelmed,350
pessimistic,11
unhappy,35
upset,144
outrage,194
ass,1222
damn,1186
covidiot,152
terrify,41
terrified,103
terrifying,146
distrust,45
scare,245
scared,477
scaring,60
dread,24
failed,1230
failed,1230
failure,1056
fuck,1946
fucking,1715
miserable,80
regret,185
shock,344
shocked,388
negligence,220
betrayed,23
cry,277
crying,188
idiot,912
idiots,509
selfish,335
upheaval,30
mess,664
crisis,11687
horrible,352
violence,758
abuse,597
rape,85
stupid,1654
