words,ocurrences
panic,127
fear,411
sad,277
mental,195
mind,268
sorry,271
shame,131
hate,205
hell,284
bad,597
feel,565
feeling,218
shit,463
worst,307
worse,300
blame,217
lonely,34
chaos,135
mad,68
ruined,84
anxiety,79
stress,127
stressed,18
phobia,1
shame,131
hurt,61
disorder,24
loneliness,13
turmoil,6
anger,23
horror,18
rage,17
fate,10
nervous,17
restless,1
depression,44
grief,32
worry,149
worried,177
angst,3
depressed,12
suicide,55
suffer,75
suffering,106
uncertainty,66
uneasy,0
sadness,8
afraid,91
alone,319
suicidal,5
mood,23
tension,4
anxious,24
desperate,196
dismal,1
exhausted,40
insecure,5
distress,30
distressed,2
frustration,38
disgusting,81
boredom,1
bored,4
insane,90
stupidity,57
bullshit,126
uncertain,21
displeased,0
uncomfortable,20
melancholy,0
overwhelmed,103
pessimistic,1
unhappy,10
upset,22
outrage,17
ass,134
damn,279
covidiot,29
terrify,2
terrified,32
terrifying,34
distrust,17
scare,117
scared,151
scaring,17
dread,7
failed,231
failed,231
failure,172
fuck,601
fucking,381
miserable,22
regret,17
shock,57
shocked,50
negligence,27
betrayed,8
cry,56
crying,80
idiot,90
idiots,128
selfish,85
upheaval,5
mess,86
crisis,439
horrible,57
violence,57
abuse,35
rape,8
stupid,282
