words,ocurrences
panic,719
fear,2004
sad,1702
mental,1320
mind,1230
sorry,1523
shame,857
hate,880
hell,1078
bad,2784
feel,2452
feeling,745
shit,1879
worst,1496
worse,1969
blame,1457
lonely,106
chaos,344
mad,350
ruined,165
anxiety,513
stress,538
stressed,115
phobia,6
shame,857
hurt,352
disorder,73
loneliness,78
turmoil,35
anger,222
horror,166
rage,180
fate,115
nervous,79
restless,19
depression,465
grief,294
worry,887
worried,832
angst,10
depressed,67
suicide,552
suffer,379
suffering,1186
uncertainty,424
uneasy,23
sadness,87
afraid,534
alone,1453
suicidal,23
mood,148
tension,63
anxious,144
desperate,368
dismal,17
exhausted,61
insecure,60
distress,72
distressed,13
frustration,94
disgusting,535
boredom,40
bored,188
insane,268
stupidity,454
bullshit,523
uncertain,176
displeased,0
uncomfortable,60
melancholy,3
overwhelmed,189
pessimistic,15
unhappy,31
upset,177
outrage,242
ass,732
damn,915
covidiot,445
terrify,5
terrified,85
terrifying,156
distrust,35
scare,285
scared,725
scaring,31
dread,31
failed,1148
failed,1148
failure,886
fuck,1634
fucking,1475
miserable,55
regret,91
shock,255
shocked,235
negligence,234
betrayed,38
cry,192
crying,195
idiot,698
idiots,693
selfish,756
upheaval,13
mess,378
crisis,6633
horrible,337
violence,335
abuse,427
rape,58
stupid,1817
