words,ocurrences
panic,454
fear,1738
sad,1243
mental,2639
mind,1347
sorry,1203
shame,682
hate,1098
hell,965
bad,2460
feel,2326
feeling,762
shit,1815
worst,1464
worse,1547
blame,1677
lonely,73
chaos,311
mad,425
ruined,162
anxiety,715
stress,734
stressed,150
phobia,10
shame,682
hurt,408
disorder,87
loneliness,128
turmoil,54
anger,152
horror,152
rage,82
fate,81
nervous,93
restless,9
depression,498
grief,183
worry,655
worried,798
angst,12
depressed,75
suicide,505
suffer,409
suffering,1003
uncertainty,471
uneasy,17
sadness,36
afraid,467
alone,1233
suicidal,39
mood,195
tension,119
anxious,192
desperate,295
dismal,21
exhausted,57
insecure,65
distress,154
distressed,35
frustration,85
disgusting,315
boredom,50
bored,180
insane,350
stupidity,480
bullshit,497
uncertain,333
displeased,1
uncomfortable,71
melancholy,1
overwhelmed,278
pessimistic,22
unhappy,50
upset,188
outrage,104
ass,898
damn,865
covidiot,243
terrify,4
terrified,73
terrifying,105
distrust,26
scare,189
scared,425
scaring,29
dread,24
failed,1368
failed,1368
failure,1026
fuck,1422
fucking,1432
miserable,94
regret,229
shock,302
shocked,220
negligence,296
betrayed,18
cry,202
crying,191
idiot,1006
idiots,545
selfish,342
upheaval,31
mess,459
crisis,10821
horrible,272
violence,538
abuse,436
rape,76
stupid,1706
