word,count
covid,90399
19,82380
coronavirus,64596
covid19,55540
cases,24574
new,21439
amp,20885
people,19931
pandemic,18687
trump,17683
us,13082
testing,12944
health,12445
deaths,11333
get,11019
cdc,9689
via,9552
news,9232
one,9075
like,9045
need,8810
time,8043
help,8019
000,7363
says,7318
test,7171
virus,7140
vaccine,7019
positive,6998
students,6706
would,6494
please,6364
today,6360
2020,6327
know,6260
day,6242
due,6186
many,6169
world,5986
state,5904
school,5832
could,5813
may,5772
still,5735
back,5717
government,5669
spread,5442
see,5441
even,5377
first,5339
go,5318
death,5307
work,5299
schools,5127
going,5104
tested,5064
home,5028
good,5011
data,4987
realdonaldtrump,4942
care,4937
take,4876
say,4831
said,4672
response,4656
public,4622
make,4542
year,4486
india,4485
country,4484
since,4440
tests,4425
lockdown,4394
also,4372
change,4342
well,4338
guidelines,4302
re,4257
risk,4227
let,4159
read,4152
masks,4142
americans,4111
way,4110
number,4089
live,4088
want,4070
patients,4032
mask,4018
last,3988
right,3982
august,3954
think,3939
days,3916
update,3911
support,3847
keep,3820
26,3737
china,3718
states,3709
children,3707
latest,3651
crisis,3595
safe,3580
uk,3580
total,3576
two,3543
social,3512
lives,3490
stop,3489
business,3485
life,3477
president,3410
case,3405
reported,3387
top,3379
much,3376
face,3355
great,3329
daily,3328
confirmed,3299
global,3294
week,3264
impact,3243
guidance,3194
numbers,3193
use,3149
everyone,3142
10,3132
really,3109
symptoms,3094
every,3093
county,3075
months,2997
reports,2990
report,2982
must,2970
another,2937
million,2901
economy,2877
study,2859
times,2858
america,2851
look,2840
exams,2823
free,2756
better,2748
aug,2736
amid,2734
outbreak,2726
neet,2724
treatment,2702
without,2646
long,2631
dr,2600
thanks,2581
needs,2575
jee,2573
rate,2563
high,2549
got,2548
postponejee_neetincovid,2548
plan,2544
safety,2541
medical,2515
post,2489
find,2474
dead,2462
next,2455
science,2455
sir,2455
made,2448
end,2447
died,2442
come,2441
getting,2437
kids,2435
working,2419
community,2397
experts,2396
hospital,2389
wednesday,2384
less,2377
stay,2362
workers,2360
24,2341
ve,2335
national,2334
thank,2316
never,2316
gop,2309
20,2297
money,2283
university,2272
around,2269
administration,2262
staff,2261
recovery,2256
research,2248
family,2237
information,2229
already,2227
contact,2227
others,2222
countries,2222
ca,2220
watch,2219
done,2204
updates,2189
hope,2184
travel,2174
important,2170
online,2155
give,2154
narendramodi,2153
check,2153
years,2150
open,2147
corona,2142
early,2135
media,2134
man,2132
die,2121
distancing,2120
nursing,2117
american,2116
infected,2116
economic,2115
exam,2114
education,2111
job,2108
flu,2108
infection,2101
fight,2091
real,2085
part,2085
govt,2074
house,2058
control,2058
shows,2053
yet,2045
trying,2037
call,2023
results,2021
put,2020
future,2019
weeks,2014
big,2008
learn,2004
best,2003
away,1998
protect,1998
disease,1985
hit,1984
fda,1984
vote,1973
infections,1964
wear,1964
south,1959
quarantine,1951
asymptomatic,1945
postpone,1923
show,1922
city,1915
situation,1914
person,1912
local,1909
exposed,1907
increase,1905
start,1903
close,1901
past,1894
including,1894
families,1882
15,1872
official,1868
ever,1865
officials,1863
antistudentmodigovt,1862
based,1857
continue,1853
postponeneetjee_today,1851
active,1849
things,1848
minister,1848
kill,1841
across,1839
available,1836
businesses,1835
25,1825
sure,1820
thing,1815
among,1815
far,1814
white,1803
within,1801
follow,1798
market,1796
coming,1786
emergency,1776
enough,1764
pm,1763
healthcare,1763
taking,1758
save,1757
join,1750
usa,1747
cnn,1740
nothing,1735
rules,1730
measures,1725
someone,1714
share,1712
anyone,1705
full,1700
pmoindia,1694
women,1691
believe,1689
lost,1689
political,1689
parents,1686
population,1684
gov,1675
per,1673
yes,1673
gt,1670
restrictions,1669
millions,1656
story,1656
article,1651
rnc,1640
place,1640
wearing,1636
hours,1627
department,1625
recovered,1624
100,1615
love,1611
doctors,1603
homes,1602
something,1598
vaccines,1597
might,1594
food,1591
12,1590
despite,1574
police,1572
team,1566
force,1561
breaking,1560
fauci,1559
florida,1557
fall,1555
election,1550
second,1550
making,1534
least,1522
possible,1518
tell,1514
rise,1512
bad,1509
drrpnishank,1506
found,1494
soon,1487
using,1487
cdcgov,1483
biden,1469
looking,1468
pence,1467
act,1465
plasma,1464
system,1459
industry,1459
video,1456
low,1454
jobs,1451
highest,1445
relief,1444
toll,1443
god,1439
services,1436
reopen,1434
return,1425
student,1421
pressured,1421
old,1418
related,1414
told,1414
according,1412
everything,1412
180,1410
demand,1407
saying,1403
leaders,1402
fear,1399
month,1394
federal,1393
september,1391
changes,1388
lot,1387
party,1382
wants,1378
thousands,1374
small,1371
used,1364
the,1362
oh,1359
order,1358
march,1357
australia,1352
policy,1347
tips,1346
residents,1345
governor,1341
three,1341
called,1337
50,1336
30,1333
pay,1328
visit,1327
affected,1324
listen,1324
hard,1324
nation,1323
sick,1320
event,1319
issues,1317
lies,1314
canada,1314
effective,1314
feel,1297
current,1297
human,1296
york,1293
